r=
ok_badania;dzieci_do_6;liczba_doroslych;dochod_gosp;wiek;zadowolenie_z_pra=
cy;plec;liczba_os_w_gosp;Liczba_pokoi;Pow_mieszk;miasta_100+tys;doch_z_pra=
cy_respondenta;liczba_osob_wnoszacych_dochod_w_gosp=0D
1992;0;2;250;62;NA;2;2;NA;NA;NA;NA;2=0D
1992;0;1;120;55;NA;2;1;NA;NA;NA;NA;1=0D
1992;0;2;800;61;NA;1;2;NA;NA;NA;NA;2=0D
1992;0;1;125;61;NA;2;1;NA;NA;NA;NA;1=0D
1992;1;3;380;38;2;2;5;NA;NA;NA;120;2=0D
1992;0;1;500;49;2;1;1;NA;NA;NA;500;1=0D
1992;0;2;220;37;2;1;3;NA;NA;NA;0;1=0D
1992;2;5;400;24;2;1;7;NA;NA;NA;120;4=0D
1992;1;2;360;24;2;2;3;NA;NA;NA;100;2=0D
1992;0;2;400;43;NA;1;3;NA;NA;NA;NA;2=0D
1992;0;2;170;44;NA;2;3;NA;NA;NA;NA;2=0D
1992;0;2;200;32;1;1;2;NA;NA;NA;130;2=0D
1992;1;2;320;35;2;2;6;NA;NA;NA;180;2=0D
1992;1;2;300;41;NA;2;5;NA;NA;NA;NA;2=0D
1992;0;2;280;41;2;2;4;NA;NA;NA;85;2=0D
1992;1;2;450;25;2;1;3;NA;NA;NA;300;2=0D
1992;0;1;220;70;NA;1;1;NA;NA;NA;NA;1=0D
1992;0;1;120;39;3;1;1;NA;NA;NA;120;1=0D
1992;0;2;220;51;2;1;2;NA;NA;NA;150;2=0D
1992;0;1;300;57;2;1;1;NA;NA;NA;300;1=0D
1992;0;5;300;51;4;1;7;NA;NA;NA;99998;2=0D
1992;0;6;200;21;NA;2;8;NA;NA;NA;NA;2=0D
1992;0;2;100;40;1;2;2;NA;NA;NA;100;1=0D
1992;0;2;150;37;2;2;2;NA;NA;NA;150;1=0D
1992;0;1;200;64;NA;1;1;NA;NA;NA;NA;1=0D
1992;0;3;300;36;2;2;5;NA;NA;NA;136;3=0D
1992;0;1;160;57;NA;2;1;NA;NA;NA;NA;1=0D
1992;0;2;180;25;NA;1;2;NA;NA;NA;NA;2=0D
1992;3;2;350;33;3;1;6;NA;NA;NA;300;2=0D
